source,it,fpr,tpr
gw,0,0.0,0.0
gw,0,0.0,0.003816793893129771
gw,0,0.0004967709885742673,0.003816793893129771
gw,0,0.0004967709885742673,0.007633587786259542
gw,0,0.0009935419771485345,0.007633587786259542
gw,0,0.0009935419771485345,0.011450381679389313
gw,0,0.001987083954297069,0.011450381679389313
gw,0,0.001987083954297069,0.015267175572519083
gw,0,0.004470938897168405,0.015267175572519083
gw,0,0.004470938897168405,0.019083969465648856
gw,0,0.005961251862891207,0.019083969465648856
gw,0,0.005961251862891207,0.022900763358778626
gw,0,0.006954793840039742,0.022900763358778626
gw,0,0.007451564828614009,0.022900763358778626
gw,0,0.007451564828614009,0.026717557251908396
gw,0,0.007948335817188276,0.026717557251908396
gw,0,0.00894187779433681,0.026717557251908396
gw,0,0.009438648782911079,0.026717557251908396
gw,0,0.009438648782911079,0.030534351145038167
gw,0,0.01092896174863388,0.030534351145038167
gw,0,0.012419274714356682,0.04198473282442748
gw,0,0.013412816691505217,0.04198473282442748
gw,0,0.013909587680079483,0.04198473282442748
gw,0,0.013909587680079483,0.04580152671755725
gw,0,0.014903129657228018,0.04580152671755725
gw,0,0.014903129657228018,0.04961832061068702
gw,0,0.01689021361152509,0.04961832061068702
gw,0,0.017386984600099353,0.04961832061068702
gw,0,0.018877297565822158,0.04961832061068702
gw,0,0.01987083954297069,0.04961832061068702
gw,0,0.01987083954297069,0.05343511450381679
gw,0,0.02036761053154496,0.05343511450381679
gw,0,0.020864381520119227,0.05725190839694656
gw,0,0.022354694485842028,0.0648854961832061
gw,0,0.022354694485842028,0.07633587786259542
gw,0,0.022851465474416296,0.08396946564885496
gw,0,0.024341778440139097,0.08778625954198473
gw,0,0.02533532041728763,0.08778625954198473
gw,0,0.030799801291604572,0.09541984732824428
gw,0,0.03129657228017884,0.09541984732824428
gw,0,0.03129657228017884,0.09923664122137404
gw,0,0.03129657228017884,0.11068702290076336
gw,0,0.031793343268753105,0.1183206106870229
gw,0,0.03229011425732737,0.1183206106870229
gw,0,0.03278688524590164,0.12213740458015267
gw,0,0.03278688524590164,0.12595419847328243
gw,0,0.033283656234475906,0.12595419847328243
gw,0,0.03825136612021858,0.1297709923664122
gw,0,0.03974167908594138,0.13358778625954199
gw,0,0.04073522106308992,0.13358778625954199
gw,0,0.04371584699453552,0.13358778625954199
gw,0,0.04371584699453552,0.13740458015267176
gw,0,0.04868355688027819,0.13740458015267176
